City_ID,city,lat,lng,max_temp,Humidity,Cloudiness,Wind Speed
306,Sibolga,1.7427,98.7792,74.89,83,77,3.42
307,Umm Bab,25.2142,50.8072,91.08,61,17,6.35
308,Anchorage,61.2181,-149.9003,74.75,85,40,5.75
309,Rio Grande,-32.035,-52.0986,47.95,80,10,11.21
310,Talnakh,69.4865,88.3972,52.63,65,80,6.46
311,Sambava,-14.2667,50.1667,71.44,85,77,12.44
312,Keighley,53.8679,-1.9066,69.71,88,0,5.75
313,Salamiyah,35.0113,37.0532,78.01,44,0,7.9
314,Tual,-5.6667,132.75,80.24,83,88,20.92
315,Tambacounda,13.7539,-13.7586,84.83,69,61,5.26
316,Marfino,55.7028,37.3822,70.09,90,0,6.71
317,Najran,17.4924,44.1277,77.11,61,100,5.57
318,Ngunguru,-35.6167,174.5,63.16,60,36,6.93
319,Makaha,21.4694,-158.2175,87.71,61,75,11.5
320,Cayenne,4.9333,-52.3333,80.1,88,0,2.3
321,Khilok,51.3674,110.4676,58.39,94,63,6.31
322,Kupang,-10.1667,123.5833,75.78,83,20,6.91
323,Polewali,-3.4324,119.3435,75.7,84,7,2.75
324,Shijak,41.3456,19.5672,69.78,83,0,3.44
325,Kaitangata,-46.2817,169.8464,46.92,81,58,3.85
326,Gidole,5.65,37.3667,56.89,74,98,1.25
327,Neuquen,-38.9516,-68.0591,49.89,62,29,0.0
328,Lagoa,39.05,-27.9833,69.42,84,91,25.28
329,Dossor,47.5272,52.9811,88.43,26,11,1.36
330,Pacific Grove,36.6177,-121.9166,92.57,83,20,8.01
331,Port Lincoln,-34.7333,135.8667,53.62,71,78,24.7
332,Belyy Yar,53.6039,91.3903,57.09,94,0,4.47
333,Ozieri,40.586,9.0012,67.44,61,0,1.23
334,Mabaruma,8.2,-59.7833,75.65,94,99,4.79
335,Te Anau,-45.4167,167.7167,41.09,86,98,1.48
336,Cidreira,-30.1811,-50.2056,54.05,70,66,14.94
337,Yulara,-25.2406,130.9889,58.5,38,24,6.38
338,Chara,56.9064,118.2631,68.18,58,98,0.65
339,Anadyr,64.75,177.4833,50.5,87,90,2.24
340,Dhidhdhoo,6.8833,73.1,82.72,74,82,12.73
341,Aksu,41.1231,80.2644,68.43,66,46,1.66
342,Rawicz,51.6095,16.8585,61.93,73,73,7.18
343,Iisalmi,63.5592,27.1907,57.22,72,99,9.44
344,Deputatskiy,69.3,139.9,57.96,83,100,4.29
345,Narsaq,60.9167,-46.05,50.22,95,98,3.15
346,Masvingo,-20.0637,30.8277,46.22,84,0,2.84
347,Lethem,3.3803,-59.7968,75.52,88,72,6.55
348,Aquin,18.2833,-73.4,82.29,78,63,5.14
349,Srednekolymsk,67.45,153.6833,63.97,38,100,12.19
350,Nanortalik,60.1432,-45.2371,42.94,94,93,11.77
351,Bilma,18.6853,12.9164,92.52,27,64,11.41
352,Kashirskoye,51.4194,39.6125,70.02,82,46,7.23
353,Centerville,39.6284,-84.1594,82.65,58,1,8.05
354,Mitsamiouli,-11.3847,43.2844,77.18,70,14,8.84
355,Mananjary,-21.2167,48.3333,68.77,86,86,5.79
356,Poum,-20.2333,164.0167,71.17,84,97,6.71
357,Puerto Asis,0.5133,-76.5007,71.78,92,82,1.88
358,Cherskiy,68.75,161.3,59.07,44,100,9.33
359,Sergeyevka,53.88,67.4158,58.87,87,61,4.59
360,Portland,45.5234,-122.6762,91.71,34,20,3.0
361,Bitung,1.4451,125.1824,76.05,73,97,7.63
362,Soure,-0.7167,-48.5233,78.66,82,17,8.68
363,Hohhot,40.8106,111.6522,74.66,64,2,4.68
364,Port Augusta,-32.5,137.7667,55.71,76,100,5.57
365,Monrovia,6.3005,-10.7969,76.96,86,100,11.25
366,Ust-Koksa,50.2696,85.6108,52.29,72,63,1.63
367,Kifri,34.6959,44.9661,100.47,12,0,17.9
368,Moron,-34.6534,-58.6198,51.03,70,0,4.94
369,Moroto,2.5345,34.6666,66.9,76,93,2.06
370,Santana,-0.0583,-51.1817,79.38,81,36,5.88
371,Almaznyy,48.0448,40.045,77.14,33,61,4.68
372,Sharan,54.8167,54.0,66.56,68,52,3.18
373,Chau Doc,10.7,105.1167,77.83,83,99,3.13
374,Skjervoy,70.0311,20.9714,45.1,79,87,34.09
375,Gamba,-2.65,10.0,71.31,88,100,5.57
376,San-Pedro,4.7485,-6.6363,75.65,77,80,9.44
377,Chengde,40.9725,117.9361,72.9,93,98,2.84
378,Huarmey,-10.0681,-78.1522,65.61,78,16,8.86
379,Catuday,16.2923,119.8062,79.05,84,99,13.78
380,Show Low,34.2542,-110.0298,87.51,50,40,14.97
381,Yalutorovsk,56.6536,66.3006,55.94,95,1,3.2
382,Nabire,-3.3667,135.4833,78.13,85,63,1.52
383,La Macarena,2.1837,-73.7849,72.07,97,77,3.65
384,Sebring,27.4956,-81.4409,86.54,71,99,3.0
385,Passos,-20.7189,-46.6097,50.34,17,1,4.12
386,Suez,29.9737,32.5263,78.19,67,0,9.51
387,Terney,45.0503,136.6092,75.06,83,8,5.06
388,Yichun,47.7,128.9,74.73,87,10,2.13
389,Barabai,-2.5833,115.3833,74.25,91,12,1.86
390,Easley,34.8298,-82.6015,76.5,92,90,3.44
391,Chamonix-Mont-Blanc,45.9238,6.8693,66.27,91,2,1.68
392,Dukat,62.55,155.55,58.15,41,81,2.44
393,Chachapoyas,-6.2317,-77.869,53.26,92,85,4.41
394,Aswan,24.0934,32.907,95.36,14,51,11.5
395,Borba,-4.3878,-59.5939,81.45,61,64,2.35
396,Florianopolis,-27.6146,-48.5012,59.43,73,0,2.3
397,Burnie,-41.0667,145.9167,50.05,88,95,12.24
398,Anderson,34.5334,-82.6499,78.35,92,90,6.91
399,Lazaro Cardenas,17.9583,-102.2,86.23,72,44,9.24
400,Vila Velha,-20.3297,-40.2925,66.15,94,90,12.66
401,San Pedro,14.35,121.0167,79.11,88,99,10.98
402,Leh,34.1667,77.5833,62.4,53,29,1.41
403,Moose Jaw,50.4001,-105.5344,70.07,83,90,18.41
404,Morro Bay,35.3658,-120.8499,100.74,43,19,8.01
405,Bobrovka,54.047,61.7455,60.3,88,1,6.49
406,Koupela,12.1794,-0.3517,84.92,57,96,8.66
407,Nuuk,64.1835,-51.7216,47.01,81,75,17.27
408,Cauquenes,-35.9671,-72.3225,53.49,62,32,3.27
409,San Quintin,30.4833,-115.95,76.53,65,1,14.34
410,Florence,43.7667,11.25,76.53,59,0,2.3
411,Indramayu,-6.3264,108.32,77.92,83,17,6.42
412,Cockburn Town,21.4612,-71.1419,84.16,74,40,16.11
413,Annau,37.8876,58.516,88.39,15,0,5.48
414,Damghan,36.1683,54.348,76.73,42,0,1.19
415,Mwandiga,-4.83,29.6581,73.18,57,59,2.13
416,Ambalavao,-21.8333,46.9333,56.98,93,65,4.72
417,Cap Malheureux,-19.9842,57.6142,70.47,67,17,5.01
418,Umm Kaddadah,13.6017,26.6876,84.34,50,25,15.55
419,Saurimo,-9.6608,20.3916,59.32,37,2,5.53
