City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
4,Torbay,CA,64.76,broken clouds,47.6666,-52.7314,Gallows Cove
5,Cape Town,ZA,50.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Sudak,UA,72.21,few clouds,44.85,34.9667,Solari Beach
10,Mbarara,UG,66.94,few clouds,-0.608,30.65,Oxford Hotel
11,Bredasdorp,ZA,51.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
13,Yatou,CN,73.33,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
14,Rikitea,PF,71.42,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Aklavik,CA,62.42,overcast clouds,68.2191,-135.0107,Aklavik Inn
17,Khatanga,RU,50.81,few clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
20,Severo-Kurilsk,RU,55.22,overcast clouds,50.6789,156.125,Kak Doma
21,Kodiak,US,54.91,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
23,Kajaani,FI,53.65,clear sky,64.2273,27.7285,Original Sokos Hotel Valjus
27,Swellendam,ZA,50.38,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
28,Ivaipora,BR,61.66,clear sky,-24.2478,-51.6847,Vilhar Palace Hotel
37,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
40,Mahebourg,MU,70.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
42,Constitucion,CL,57.27,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
45,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
46,Port Alfred,ZA,53.26,light rain,-33.5906,26.891,The Halyards Hotel
48,Hailar,CN,63.77,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
51,Talnakh,RU,58.66,overcast clouds,69.4865,88.3972,Talnakh Hotel
52,Rio Grande,BR,61.34,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
54,Antofagasta,CL,58.28,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
55,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
57,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
58,Dandong,CN,72.16,overcast clouds,40.1292,124.3947,Yiranju Farmstay
59,Bengkulu,ID,74.89,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
61,Hay River,CA,69.71,light rain,60.8156,-115.7999,Ptarmigan Inn
62,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Otradnoye,RU,61.97,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
65,Lebu,CL,51.76,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
66,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
